a'ba 阿坝
a'ba'ga'qi 阿巴嘎旗
a'cheng 阿城
a'he'qi 阿合奇
a'ke'sai 阿克塞
a'ke'su 阿克苏
a'ke'tao 阿克陶
a'la'er 阿拉尔
a'la'shan'you'qi 阿拉善右旗
a'la'shan'zuo'qi 阿拉善左旗
a'le'tai 阿勒泰
a'lu'ke'er'qin'qi 阿鲁科尔沁旗
a'rong'qi 阿荣旗
a'tu'shi 阿图什
a'wa'ti 阿瓦提
an'da 安达
an'duo 安多
an'fu 安福
an'guo 安国
an'hua 安化
an'hui 安徽
an'ji 安吉
an'kang 安康
an'long 安龙
an'lu 安陆
an'ning 安宁
an'ping 安平
an'qing 安庆
an'qiu 安丘
an'ren 安仁
an'sai 安塞
an'shan 鞍山
an'shun 安顺
an'tu 安图
an'xi 安西
an'xi 安溪
an'xian 安县
an'xiang 安乡
an'xin 安新
an'yang 安阳
an'yi 安义
an'yuan 安远
an'yue 安岳
an'ze 安泽
ang'ang'xi 昂昂溪
ang'ren 昂仁
ao'han'qi 敖汉旗
ao'men 澳门
ba'chu 巴楚
ba'da'ling 八达岭
ba'dong 巴东
ba'gong'shan 八公山
ba'li'kun 巴里坤
ba'lin'you'qi 巴林右旗
ba'lin'zuo'qi 巴林左旗
ba'ma 巴马
ba'nan 巴南
ba'qiao 灞桥
ba'qing 巴青
ba'tang 巴塘
ba'xiu 八宿
ba'yan 巴彦
ba'yan'nao'er 巴彦淖尔
ba'yi'zhen 八一镇
ba'yu'quan 鲅鱼圈
ba'zhong 巴中
ba'zhou 霸州
bai'cheng 拜城
bai'cheng 白城
bai'he 白河
bai'jian'tan 白碱滩
bai'lang 白朗
bai'quan 拜泉
bai'se 百色
bai'sha 白沙
bai'shan 白山
bai'shui 白水
bai'xiang 柏乡
bai'yin 白银
bai'yu 白玉
bai'yun 白云
bai'yun'kuang 白云矿
ban'ge 班戈
ban'ma 班玛
bao'an 宝安
bao'chi 宝坻
bao'de 保德
bao'ding 保定
bao'feng 宝丰
bao'ji 宝鸡
bao'jing 保靖
bao'kang 保康
bao'qing 宝清
bao'shan 保山
bao'shan 宝山
bao'ting 保亭
bao'tou 包头
bao'xing 宝兴
bao'ying 宝应
bei'an 北安
bei'bei 北碚
bei'chen 北辰
bei'chuan 北川
bei'dai'he 北戴河
bei'hai 北海
bei'jing 北京
bei'liu 北流
bei'lun 北仑
bei'ning 北宁
bei'piao 北票
ben'xi'man'zu'zi'zhi'xian 本溪满族自治县
ben'xi'shi 本溪市
beng'bu 蚌埠
bi'jie 毕节
bi'ru 比如
bi'shan 璧山
bi'yang 泌阳
bian'ba 边坝
bin'chuan 宾川
bin'hai 滨海
bin'xian 宾县
bin'xian 彬县
bin'yang 宾阳
bin'zhou 滨州
bo'ai 博爱
bo'ao 博鳌
bo'bai 博白
bo'hu 博湖
bo'le 博乐
bo'li 勃利
bo'luo 博罗
bo'mi 波密
bo'shan 博山
bo'tou 泊头
bo'xing 博兴
bo'ye 博野
bo'zhou 亳州
bu'er'jin 布尔津
bu'tuo 布拖
cai'dian 蔡甸
cang'nan 苍南
cang'shan 苍山
cang'wu 苍梧
cang'xi 苍溪
cang'xian 沧县
cang'yuan 沧源
cang'zhou 沧州
cao'xian 曹县
ce'heng 册亨
ce'le 策勒
cen'gong 岑巩
cen'xi 岑溪
cha'bu'cha'er 察布查尔
cha'ha'er'you'yi'hou'qi 察哈尔右翼后旗
cha'ha'er'you'yi'qian'qi 察哈尔右翼前旗
cha'ha'er'you'yi'zhong'qi 察哈尔右翼中旗
cha'ling 茶陵
cha'ya 察雅
cha'yu 察隅
chang'an 长安
chang'bai 长白
chang'bai'shan 长白山
chang'chun 长春
chang'dao 长岛
chang'de 常德
chang'du 昌都
chang'feng 长丰
chang'ge 长葛
chang'hai 长海
chang'ji 昌吉
chang'jiang 昌江
chang'le 长乐
chang'le 昌乐
chang'li 昌黎
chang'ling 长岭
